Type,Prompt,Correct Answer,Choices
mcq,"Which term means: ""An interval, specifically important in the Romantic era's
  use of tertiary relationships (modulating to keys a third apart).""?","third","Dominant | third | oral/aural transmission | Richard Wagner"
mcq,"What is ""through-composed""?","A song structure where the music continuously changes and
  develops, avoiding repetition to follow the evolving text...","Specific small groupings (like the string quartet) adhering to the ""one player per part"" rule. | A key composer of the Classical period (c. 1750–1810),
  whose Quintet for piano and winds in E flat major, K. 452 is... | A song structure where the music continuously changes and
  develops, avoiding repetition to follow the evolving text... | A key composer in the Romantic tradition, known for
  writing over 500 songs (Art Song tradition)."
mcq,"Which term means: ""A song structure where the music continuously changes and
  develops, avoiding repetition to follow the evolving text narrative directly;
  contras...""?","through-composed","E major | through-composed | traditional national melodies | chorus"
mcq,"What is ""timbales""?","Percussion instruments essential to the rhythmic core of
  Salsa music.","The manner in which lyrics are sung or spoken (e.g.,
  syllabic, melismatic, rap). | The use of digital sequencing or coding, often related to
  the use of drum machines or synthesizers in EDM/Game music. | Percussion instruments essential to the rhythmic core of
  Salsa music. | The ""answer"" phrase, following the antecedent (""question"") phrase in balanced Classical melodic structure."
mcq,"Which term means: ""Percussion instruments essential to the rhythmic core of
  Salsa music.""?","timbales","harpsichord continuo | unsettling textures | irregular 'jumping' rhythms | timbales"
mcq,"What is ""Timbre""?","The unique sound quality or color of voices and
  instruments.","Sacred vocal forms prevalent in the Baroque era. | Sections written in a major key [55 and auspicious occasions**, such as religious celebrations and feasts, for which ... | The unique sound quality or color of voices and
  instruments. | The specific percussion instrument central to Salsa music, consisting of two cylindrical hardwood sticks struck toget..."
mcq,"Which term means: ""The unique sound quality or color of voices and
  instruments.""?","Timbre","chorus | Timbre | Hindustani Classical Music | cross-rhythm"
mcq,"What is ""time a movie is set""?","The historical period of a film, which composers may
  convey using specific instruments (e.g., saxophones) or stylis...","Refers generally to Rhythm, which includes the
  accents and durations that drive the music forward. | The German title for Smetana's Vltava, the
  programmatic river theme. | The historical period of a film, which composers may
  convey using specific instruments (e.g., saxophones) or stylis... | Adjective describing the characteristic traits, features,
  or conventions of a musical era or genre."
mcq,"Which term means: ""The historical period of a film, which composers may
  convey using specific instruments (e.g., saxophones) or stylistic features.""?","time a movie is set","minor key center | time a movie is set | relative major | Theme and Variations"
mcq,"What is ""time cycle""?","A fixed rhythmic structure, referring specifically to the tāla
  in Hindustani classical music.","A fixed rhythmic structure, referring specifically to the tāla
  in Hindustani classical music. | The individual who creates the musical work. | A single-movement orchestral piece of Programme Music
  (or tone poem) that follows a descriptive or literary narrati... | A percussion instrument used in Chinese Silk and Bamboo
  ensembles."
mcq,"Which term means: ""A fixed rhythmic structure, referring specifically to the tāla
  in Hindustani classical music.""?","time cycle","harsh | terraced dynamics | minor keys | time cycle"
mcq,"What is ""time signature""?","The symbolic mechanism that organizes the underlying pulse
  and rhythmic patterns (e.g., 4/4, 3/4, 6/8).","The symbolic mechanism that organizes the underlying pulse
  and rhythmic patterns (e.g., 4/4, 3/4, 6/8). | Abbreviation for mezzo forte. | The pattern of beats, accents, and durations that drive
  the music forward. | A specific technique (cited in relation to computer game music) where a single melodic line is passed rapidly between..."
mcq,"Which term means: ""The symbolic mechanism that organizes the underlying pulse
  and rhythmic patterns (e.g., 4/4, 3/4, 6/8).""?","time signature","shakers | Syllabus Terminology | time signature | two keys simultaneously"
mcq,"What is ""timpani""?","Kettle drums, the only percussion instrument typically
  included in the Baroque orchestra, primarily used for dramat...","Kettle drums, the only percussion instrument typically
  included in the Baroque orchestra, primarily used for dramat... | Refers specifically to the symphonic poem (or tone
  poem), the structural form utilized by Smetana in Vltava. | The required theoretical knowledge regarding major, minor,
  chromatic, and modal scales, necessary for advanced anal... | The specific percussion instrument central to Salsa music, consisting of two cylindrical hardwood sticks struck toget..."
mcq,"Which term means: ""Kettle drums, the only percussion instrument typically
  included in the Baroque orchestra, primarily used for dramatic effect.""?","timpani","dramatic events | timpani | CHURCH | minor key center"
mcq,"What is ""tinkling""?","The descriptive sound of the harpsichord when
  performing its role in the basso continuo.","A specific brand of synthesizer cited as an example of
  electronic sources used in scoring to create otherworldly at... | The descriptive sound of the harpsichord when
  performing its role in the basso continuo. | An instrumental device used on brass or strings to soften
  or alter the timbre. | The characteristic tone or color (Timbre) of voices
  and instruments."
mcq,"Which term means: ""The descriptive sound of the harpsichord when
  performing its role in the basso continuo.""?","tinkling","Text Setting | tinkling | Polyphony | Mickey Mousing"
mcq,"What is ""tonal centers""?","The key or modal areas around which a piece is organized
  (e.g., the Tonic).","A required texture term where two or more melodic lines
  move in the same direction, often used in Romantic textures. | A genre included in AOS 4 and AOS 5/7 that relies heavily
  on clear, consistent meters (like 4/4), syncopation, and ... | The key or modal areas around which a piece is organized
  (e.g., the Tonic). | Melodic movement using stepwise movement (conjunct
  motion, like a scale)."
mcq,"Which term means: ""The key or modal areas around which a piece is organized
  (e.g., the Tonic).""?","tonal centers","tonal centers | oral/aural transmission | stately | microtones"
